Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Royal Boutique Hotel on Kievyan,7.4,Yerevan,"18,879",Not Included,Standard Twin Room,Garden,Doesn't have,Kids' club (Additional charge),Coffee house on site | Fruits | Wine/champagne | Kid meals | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Russian,Spa and wellness centre (Additional charge) | Fitness centre (Additional charge) | Sauna (Additional charge),Doesn't have,Doesn't have
Downtown Suites Yerevan,9.5,Yerevan,"38,700",Not Included,Standard Double Room,Terrace,Doesn't have,Live music/performance | Tour or class about local culture (Additional charge) | Temporary art galleries (Additional charge) | Evening entertainment,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Minibar,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Messier 53 Hotel Yerevan,9,Yerevan,"71,250",Included,Standard Queen Room,Terrace,Doesn't have,Tour or class about local culture (Additional charge),Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Daniel Boutique Hotel,9,Yerevan,"27,000",Not Included,Standard Double or Twin Room,Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,Bicycle rental (additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Electric vehicle charging station | Street parking | Secured parking,Arabic | German | Greek | English | French | Georgian | Romanian | Russian,Fitness/spa locker rooms | Fitness | Spa facilities | Light therapy | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Facial treatments | Beauty Services | Sun umbrellas | Sun loungers or beach chairs | Massage (Additional charge) | Fitness centre,Doesn't have,Doesn't have
Spa Hotel Grace Forum,9.4,Yerevan,"34,500",Included,Deluxe Double or Twin Room,Picnic area | Garden,Doesn't have,Ski equipment hire on site | Ski storage (Additional charge) | Hiking (Off-site) | Skiing (Off-site) | Fishing (Off-site),Grocery deliveries (Additional charge) | Restaurant,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,Russian,Doesn't have,Doesn't have,Doesn't have
Imperial Palace Hotel Yerevan,7.7,Yerevan,"25,000",Not Included,Standard Twin Room,Outdoor fireplace | Picnic area | Outdoor dining area | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Tennis equipment | Table tennis | Children's playground,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Street51,9.4,Yerevan,"5,500",Not Included,Bed in 8-Bed Mixed Dormitory Room,Garden,Doesn't have,Live music/performance | Tour or class about local culture (Additional charge) | Evening entertainment | Karaoke (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Maison Hotel Yerevan,9.2,Yerevan,"31,500",Included,Deluxe Double or Twin Room with Balcony,Terrace | Garden,Doesn't have,Tour or class about local culture | Pub crawls,Fruits | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
Guest House Raisa,8.4,Dilijan,"11,000",Not Included,Single Bed in Mixed Dormitory Room,Outdoor furniture | Terrace,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Aquatek Resort & Spa Hotel,8.6,Yerevan,"42,500",Included,Standard Double Room,Outdoor fireplace | Picnic area | Outdoor dining area | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Archery (Additional charge) | Walking tours (Additional charge) | Badminton equipment | Horse riding (Additional charge) | Hiking (Additional charge) | Darts | Table tennis | Children's playground | Games room | Fishing,Wine/champagne (Additional charge) | Kid meals | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
ECO GARDEN,8.6,Dilijan,"16,000",Not Included,Budget Twin Room,Outdoor dining area | Outdoor furniture | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Rooftop Apart-Hotel,8.8,Yerevan,"42,000",Not Included,Standard Double Room,Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities (Additional charge) | Garden,Doesn't have,Hair cut | Beauty Services | Evening entertainment (Additional charge) | Massage (Additional charge),Special diet menus (on request) | Breakfast in the room | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Latar Hotel Yerevan,7.3,Yerevan,"39,500",Included,King Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Patio | Terrace | Garden,Ski-to-door access | Ski storage,Bingo | Live music/performance | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights | Stand-up comedy | Badminton equipment | Evening entertainment | Kids' club (Additional charge) | Cycling (Off-site) | Hiking (Off-site) | Karaoke | Children's playground | Casino | Games room | Skiing,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,Czech | English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Central Hotel,9.2,Yerevan,"61,000",Included,Standard Double or Twin Room,Picnic area | Outdoor dining area | Outdoor furniture | Sun terrace | Private beach area | BBQ facilities | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Beach | Water sport facilities on site (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Grocery deliveries (Additional charge) | Special diet menus (on request) | Bar | Room service | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking | Secured parking,English | Russian,Sun umbrellas,Doesn't have,Doesn't have
Villa Ayghedzor,8.6,Yerevan,"32,000",Included,Double or Twin Room,Balcony,Doesn't have,Doesn't have,Breakfast in the room | Minibar | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Ariana Family Hotel,9.4,Dilijan,"24,000",Included,Economy Double Room,Doesn't have,Doesn't have,Evening entertainment | Hot tub,Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Royal Plus Hotel,9,Yerevan,"37,260",Not Included,Two-Bedroom Suite,Picnic area | Outdoor furniture | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Evening entertainment (Additional charge) | Nightclub/DJ (Additional charge) | Karaoke (Additional charge),Breakfast in the room | Bar | Minibar | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Dream House & Hostel,9,Sevan,"11,450",Not Included,Twin Room,BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
"The Alexander, a Luxury Collection Hotel, Yerevan",9.2,Yerevan,"52,000",Not Included,"Superior, Guest room, 1 Queen",Terrace | Garden,Doesn't have,Aerobics (Additional charge) | Water park | Kids' club | Billiards | Children's playground | Games room,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,German | English | Farsi | Russian,Fitness/spa locker rooms | Fitness classes | Yoga classes | Fitness | Massage chair | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa/wellness packages | Spa lounge/relaxation area | Spa facilities | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Beauty Services | Sun umbrellas | Sun loungers or beach chairs | Water slide | Hammam | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre,Doesn't have,Doesn't have
ABO,9.6,Yerevan,"16,000",Not Included,Double Room with Balcony,Doesn't have,Doesn't have,Evening entertainment,Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking,English | Farsi | Russian,Doesn't have,Doesn't have,Doesn't have
Tatev Apartments,8.5,Yerevan,"34,200",Not Included,Superior Two-Bedroom Apartment,Picnic area | Outdoor furniture | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Stand-up comedy (Additional charge) | Karaoke (Additional charge) | Billiards (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Massage chair | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa lounge/relaxation area | Steam room | Spa facilities | Sun umbrellas | Sun loungers or beach chairs | Water slide | Open-air bath | Hammam (Additional charge) | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Sauna (Additional charge),Doesn't have,Doesn't have
aparthotel Kechi House 102,,Tsaghkadzor,"25,920",Not Included,One-Bedroom Apartment,Outdoor fireplace | Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | Armenian | Russian,Fitness | Sun umbrellas | Sun loungers or beach chairs | Fitness centre | Sauna (Additional charge),Doesn't have,Doesn't have
ECO PARK RESORT,,Ijevan,"35,000",Not Included,Family Room with Mountain View,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,"Cooking class (Additional charge) | Tour or class about local culture | Happy hour (Additional charge) | Walking tours (Additional charge) | Pub crawls (Additional charge) | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Facial treatments | Beauty Services | Open-air bath | Horse riding (Off-site, Additional charge) | Hiking (Off-site) | Fishing (Off-site)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,Russian,Doesn't have,Doesn't have,Doesn't have
